Afar|aa|aar
IrishMiddle||mga
MiKmaq||mic
Minangkabau||min
UncodedLanguages||mis
MonKhmerLanguages||mkh
Malagasy|mg|mlg
Maltese|mt|mlt
Manchu||mnc
Manipuri||mni
ManoboLanguages||mno
Mohawk||moh
Mongolian|mn|mon
Mossi||mos
Maori|mi|mri
MultipleLanguages||mul
MundaLanguages||mun
Creek||mus
Mirandese||mwl
Marwari||mwr
MayanLanguages||myn
Erzya||myv
NahuatlLanguages||nah
NorthAmericanIndianLanguages||nai
Neapolitan||nap
Nauru|na|nau
Navajo|nv|nav
NdebeleSouth|nr|nbl
NdebeleNorth|nd|nde
Ndonga|ng|ndo
LowGerman||nds
Nepali|ne|nep
NepalBhasa||new
Nias||nia
NigerKordofanianLanguages||nic
Niuean||niu
NorwegianNynorsk|nn|nno
NorwegianBokmal|nb|nob
Nogai||nog
NorseOld||non
Norwegian|no|nor
NKo||nqo
NorthernSotho||nso
NubianLanguages||nub
ClassicalNewari||nwc
Chichewa|ny|nya
Nyamwezi||nym
Nyankole||nyn
Nyoro||nyo
Nzima||nzi
Occitan|oc|oci
Ojibwa|oj|oji
Oriya|or|ori
Oromo|om|orm
Osage||osa
Ossetian|os|oss
TurkishOttoman||ota
OtomianLanguages||oto
PapuanLanguages||paa
Pangasinan||pag
Pahlavi||pal
Pampanga||pam
Panjabi|pa|pan
Papiamento||pap
Palauan||pau
PersianOld||peo
PhilippineLanguages||phi
Phoenician||phn
Pali|pi|pli
Polish|pl|pol
Pohnpeian||pon
Portuguese|pt|por
PrakritLanguages||pra
ProvencalOld||pro
Pushto|ps|pus
ReservedForLocalUse||qaa-qtz
Quechua|qu|que
Rajasthani||raj
Rapanui||rap
Rarotongan||rar
RomanceLanguages||roa
Romansh|rm|roh
Romany||rom
Romanian|ro|rum
Rundi|rn|run
Aromanian||rup
Russian|ru|rus
Sandawe||sad
Sango|sg|sag
Yakut||sah
SouthAmericanIndianLanguages||sai
SalishanLanguages||sal
SamaritanAramaic||sam
Sanskrit|sa|san
Sasak||sas
Santali||sat
Sicilian||scn
Scots||sco
Selkup||sel
SemiticLanguages||sem
IrishOld||sga
SignLanguages||sgn
Shan||shn
Sidamo||sid
Sinhala|si|sin
SiouanLanguages||sio
SinoTibetanLanguages||sit
SlavicLanguages||sla
Slovak|sk|slo
Slovenian|sl|slv
SouthernSami||sma
NorthernSami|se|sme
SamiLanguages||smi
LuleSami||smj
InariSami||smn
Samoan|sm|smo
SkoltSami||sms
Shona|sn|sna
Sindhi|sd|snd
Soninke||snk
Sogdian||sog
Somali|so|som
SonghaiLanguages||son
SothoSouthern|st|sot
Spanish|es|spa
Sardinian|sc|srd
SrananTongo||srn
Serbian|sr|srp
Serer||srr
NiloSaharanLanguages||ssa
Swati|ss|ssw
Sukuma||suk
Sundanese|su|sun
Susu||sus
Sumerian||sux
Swahili|sw|swa
Swedish|sv|swe
ClassicalSyriac||syc
Syriac||syr
Tahitian|ty|tah
TaiLanguages||tai
Tamil|ta|tam
Tatar|tt|tat
Telugu|te|tel
Timne||tem
Tereno||ter
Tetum||tet
Tajik|tg|tgk
Tagalog|tl|tgl
Thai|th|tha
Tigre||tig
Tigrinya|ti|tir
Tiv||tiv
Tokelau||tkl
Klingon||tlh
Tlingit||tli
Tamashek||tmh
TongaNyasa||tog
TongaIslands|to|ton
TokPisin||tpi
Tsimshian||tsi
Tswana|tn|tsn
Tsonga|ts|tso
Turkmen|tk|tuk
Tumbuka||tum
TupiLanguages||tup
Turkish|tr|tur
AltaicLanguages||tut
Tuvalu||tvl
Twi|tw|twi
Tuvinian||tyv
Udmurt||udm
Ugaritic||uga
Uighur|ug|uig
Ukrainian|uk|ukr
Umbundu||umb
Undetermined||und
Urdu|ur|urd
Uzbek|uz|uzb
Vai||vai
Venda|ve|ven
Vietnamese|vi|vie
Volapuk|vo|vol
Votic||vot
WakashanLanguages||wak
Wolaitta||wal
Waray||war
Washo||was
SorbianLanguages||wen
Walloon|wa|wln
Wolof|wo|wol
Kalmyk||xal
Xhosa|xh|xho
Yao||yao
Yapese||yap
Yiddish|yi|yid
Yoruba|yo|yor
YupikLanguages||ypk
Zapotec||zap
Blissymbols||zbl
Zenaga||zen
StandardMoroccanTamazight||zgh
Zhuang|za|zha
ZandeLanguages||znd
Zulu|zu|zul
Zuni||zun
NoLinguisticContent||zxx
Zaza||zza
